id,age,gender,monthly_income,tertiary_student,instituition,region,location,type_of_student,type_of_employment,frequently_used_mot,frequency_mot,preferred_mot,reason_least_preferred_mot,circ_least_preferred_mot,factors_mot_ranking,overall_avg_spending,research,comfortable,explore,frequently_used_mot_cnt,most_preferred_mot,least_preferred_mot,most_impt_factor,least_impt_factor,frequency_bus,waiting_time_bus,reason_bus,affordable_bus,accesible_bus,safe_bus,prevent_bus,chartered_bus,occasion_chartered_bus,price_chartered_bus,frequency_mrt,spend_mrt,reason_mrt,mrt_lines,affordable_mrt,accessible_mrt,waiting_mrt,safe_mrt,prevent_mrt,mrt_lines_cnt,frequency_taxi,waiting_time_taxi,way_hail,reason_taxi,preference_rank_taxi,affordable_taxi,accessible_taxi,safe_taxi,customer_service_taxi,difficulties_taxi,prevent_taxi,most_preferred_taxi,least_preferred_taxi,frequency_ride_hailing,reason_ride_hailing,ride_hailing_type,preference_rank_ride_hailing,reason_ride_hailing_company,affordable_ride_hailing,safe_ride_hailing,customer_service_ride_hailing,difficulties_ride_hailing,prevent_ride_hailing,used_ride_hailing_svc_cnt,most_preferred_ride_hailing,least_preferred_ride_hailing,own_driving_license,rent_before,preference_rank_rental_car,reason_rental_car_company,frequency_rental,duration_rental,reason_rental_car,difficulties_rental_car,difficulties_reason_rental_car,convenient_rental_car,convenient_reason_rental_car,affordable_rental_car,reasonable_rental_car,type_rental_car,perception_rental_car,max_price_rental_car,biz_model_rental,biz_model_reason_rental,biz_model_important_rental,prevent_rental,type_rental_car_heard_cnt,aware_cdg,used_cdg,accessibility_cdg,cs_cdg,cost_cdg,comfort_cdg,reliability_cdg,info_cdg,overall_rating_cdg,perception_cdg,improvement_cdg,incentives_cdg,aware_cdg_cnt,used_cdg_cnt
324,18 - 21,Female,Prefer not to say,Yes,NTU,East,Prefer not to say,Full-time Student,,"['MRT', 'Bus', 'Ride-hailing services', 'car, walk']",Daily,"['Others: Cycle, Walk, Drive', 'Bus\xa0', 'MRT', 'Ride-hailing services', 'Taxi', 'Car rentals']","car rentals expensive
taxi expensive","may rent a car when i go out with big group of friends to diff places
taxi when it is right in front of me n i dont intend of taking public transport home","['Price', 'Travel Time', 'Waiting Time', 'Safety', 'Reliability', 'Service Information', 'Physical Accessibility', 'Customer Service', 'Comfort']",Less than $50,7,5,9,4,"Others: Cycle, Walk, Drive",Car rentals,Price,Comfort,Daily,10-20 minutes,"['Directly to work/school', 'When travelling to the nearby MRT Stations']",Agree,Agree,Neutral,"['Long waiting time', 'Long travel time', 'Too crowded']",No,when i have money and im overseas with a big group,$101 - $120,3-4 days per week,More than an hour,"[""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)"", 'To get to work/school', 'to go home']","['East-West Line (Green Line)', 'Circle Line (Orange/Yellow Line)', 'North-South Line (Red Line)']",Agree,Disagree,Agree,Agree,"['Too crowded', 'no mrt near me']",3,Never,5-10 mins,"['Online/In-app', 'Flag down']","['When there is a promotion', ""when I'm injured"", 'When it is more convenient']","['ComfortDelgro', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Agree,Agree,Agree,"MRT breakdown in between Aljunied and Paya Lebar MRT stations, about 4 years back",['Too costly'],ComfortDelgro,Yellow-Top Taxi,None,"['When there is a promotion', 'When it is more convenient', ""when I'm injured""]","['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']","['promotions, recommended by other']",Neutral,Neutral,Neutral,nil,"['Too costly', 'hard to manoeuvre the app']",2,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'LionCity Rental']",I intend to get a membership once I am off probation,< $3,['both r fine'],"['Cost', 'Convenience']",7,"['Costly', 'Age Restrictions', 'Insurance Coverage', 'Type of rental car provided', 'Safety of Car Maintenance', 'Inconvenient Pickup Locations']",2,"['Rent-A-Car', 'Chartered Bus', 'Taxi']",['Taxi'],Very satisfied,Very satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,should become like grab,offer food also,"['Promotion codes', 'Giveaways and contests', 'Competitive prices', 'More locations to rent from']",3,1
325,18 - 21,Female,Below $500,Yes,ITE College Central,Central,Toa Payoh,Full-time Student,,"['Bus', 'MRT']",5 - 6 days a week,"['Bus\xa0', 'Ride-hailing services', 'MRT', 'Taxi', 'Car rentals', 'Others: Cycle, Walk, Drive']",,,"['Price', 'Travel Time', 'Waiting Time', 'Comfort', 'Physical Accessibility', 'Reliability', 'Safety', 'Customer Service', 'Service Information']",$50-$100,9,6,5,2,Bus ,"Others: Cycle, Walk, Drive",Price,Service Information,Daily,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Neutral,Agree,"['Long waiting time', 'Long travel time', 'Bulky items', 'Too crowded']",No,,$101 - $120,5-6 days per week,0-15 mins,"['To get to the relevant bus stop', 'To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]",['North-South Line (Red Line)'],Agree,Agree,Agree,Neutral,['Too crowded'],1,Never,Less than 5 mins,['Online/In-app'],['When there is a promotion'],"['ComfortDelgro', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Premier Taxi', 'Yellow-Top Taxi', 'Prime Taxi']",Disagree,Neutral,Neutral,Agree,,"['Private hire is cheaper', 'Too costly']",ComfortDelgro,Prime Taxi,None,"['When there is a promotion', 'When I need the comfort of privacy', 'When it is more convenient']","['Grab', 'Gojek', 'ComfortDelGro', 'Tada Mobility']","['Gojek', 'Tada Mobility', 'Grab', 'Ryde', 'Comfort DelGro', 'Others']",[''],Agree,Agree,Agree,,['Too costly'],4,Gojek,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'GetGO']",,< $3,"['Free-floating', 'Station-based']","['Reliability', 'Cost', 'Convenience']",7,"['Inconvenient Pickup Locations', 'Costly', 'Insurance Coverage']",2,['Taxi'],['Taxi'],Neutral,Somewhat satisfied,Neutral,Somewhat satisfied,Neutral,Neutral,Somewhat satisfied,pretty okay ,idk im sorry,"['More locations to rent from', 'Promotion codes']",1,1
326,22 - 25,Female,Below $500,Yes,NTU,West,Prefer not to say,Full-time Student,,"['MRT', 'Bus']",3 - 4 days a week,"['Bus\xa0', 'MRT', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi', 'Car rentals']",,,"['Travel Time', 'Waiting Time', 'Reliability', 'Price', 'Physical Accessibility', 'Comfort', 'Customer Service', 'Service Information', 'Safety']",$50-$100,8,7,6,2,Bus ,Car rentals,Travel Time,Safety,Once a week,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Neutral,Agree,Agree,"['Long waiting time', 'Unpredictable timings']",No,,,3-4 days per week,More than an hour,['To get to work/school'],['North-South Line (Red Line)'],Disagree,Agree,"Strongly Agree
",Agree,['Bulky items'],1,Never,5-10 mins,['Online/In-app'],['Last resort when i need to get to a place within a certain time (rushing)'],"['ComfortDelgro', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Yellow-Top Taxi', 'Prime Taxi']",Strongly Disagree,Neutral,Neutral,Neutral,,"['Too costly', 'Long waiting time']",ComfortDelgro,Prime Taxi,None,['Same as previous'],"['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Others', 'Ryde', 'Tada Mobility']",[''],Neutral,Agree,Neutral,,['Too costly'],2,Grab,Tada Mobility,Yes,No,[''],[''],,,[''],,,,,,,['BlueSG'],Not super safe because of several news regarding drivers getting into accidents when using it,$3.01 - $5,"['Free-floating', 'Station-based']","['Convenience', 'Reliability']",8,"['Costly', 'Safety of Car Maintenance', 'Inconvenient Pickup Locations']",1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Neutral,Not much opinions other than it being one of the taxis out there,Cost,"['Competitive prices', 'Promotion codes']",1,1
328,22 - 25,Female,Below $500,Yes,NTU,North-East,Sengkang,Full-time Student,,"['MRT', 'Drive', 'Bus']",3 - 4 days a week,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi', 'Car rentals']","Taxi - need to go and hail
Car rentals - expensive","Taxi - if i’m just beside a taxi stand
Car rentals - if it’s cheaper than grab","['Travel Time', 'Price', 'Physical Accessibility', 'Comfort', 'Waiting Time', 'Safety', 'Reliability', 'Customer Service', 'Service Information']",$50-$100,8,3,1,3,MRT,Car rentals,Travel Time,Service Information,Once a week,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)', 'Directly to work/school']",Agree,Strongly Agree,Agree,['Long waiting time'],No,If there’s like 39 other people i know who are going to the exact same location,$101 - $120,3-4 days per week,45-60 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'East-West Line (Green Line)', 'North-East Line (Purple Line)', 'Sengkang-Punggol LRT']",Agree,Agree,Agree,Neutral,"['Bulky items', 'Too crowded', 'Long travel time']",4,Never,Less than 5 mins,['Flag down'],['When it is more accessible'],"['ComfortDelgro', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Yellow-Top Taxi', 'Prime Taxi', 'Premier Taxi']",Agree,Agree,Agree,Strongly Agree,MRT Breakdown,"['Too costly', 'Lazy to flag down']",ComfortDelgro,Premier Taxi,None,"['When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['Can just book on my phone and g'],Disagree,Agree,Agree,When the place i’m at is inaccesible,"['Poor driving', 'Too costly']",2,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar', 'GetGO']",Heard of people using it before,< $3,['Free-floating'],"['Convenience', 'Reliability', 'Cost']",10,"['Inconvenient Pickup Locations', 'Insurance Coverage', 'Type of rental car provided', 'Costly', 'Safety of Car Maintenance']",3,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Neutral,Somewhat satisfied,Not bad,Make it cheaper,"['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
329,22 - 25,Female,"$501 - $1,000",Yes,NTU,Central,Bishan,Full-time Student,,"['Bus', 'MRT']",5 - 6 days a week,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi', 'Car rentals']",expensive,when i miss the last bus/mrt,"['Price', 'Service Information', 'Reliability', 'Waiting Time', 'Travel Time', 'Safety', 'Physical Accessibility', 'Comfort', 'Customer Service']",$50-$100,9,7,0,2,MRT,Car rentals,Price,Customer Service,5-6 times a week,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'to training ']",Strongly Agree,Strongly Agree,Agree,"['Long waiting time', 'Too crowded']",No,large outings with friends / family,$121 - $140,5-6 days per week,15-30 mins,['to go home'],"['Circle Line (Orange/Yellow Line)', 'North-South Line (Red Line)']","Strongly Agree
","Strongly Agree
","Strongly Agree
",Agree,['Too crowded'],2,Never,5-10 mins,['Online/In-app'],['when i miss the last train/bus'],"['ComfortDelgro', 'SMRT Taxi', 'Trans-Cab', 'CityCab', 'Yellow-Top Taxi', 'Prime Taxi', 'Premier Taxi']",Strongly Disagree,Neutral,Disagree,Neutral,,['Too costly'],ComfortDelgro,Premier Taxi,None,"['When it is more accessible', 'when i can claim the ride from school']",['Grab'],"['Grab', 'Gojek', 'Comfort DelGro', 'Tada Mobility', 'Ryde', 'Others']",[''],"Strongly Disagree
",Disagree,Neutral,,"['Poor driving', 'Too costly']",1,Grab,Others,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],should be somewhat affordable since it's commonly seen,$5.01 - $7,['Station-based'],"['Convenience', 'Reliability']",4,"['Inconvenient Pickup Locations', 'Costly', 'Insurance Coverage', 'Safety of Car Maintenance']",1,['Taxi'],['Taxi'],Neutral,Neutral,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,most reliable taxi company,I'm satisfied with their services ,['Promotion codes'],1,1
331,22 - 25,Male,">$3,001",Yes,NUS,Central,Bishan,Part-time Student,,['MRT'],3 - 4 days a week,"['MRT', 'Bus\xa0', 'Taxi', 'Ride-hailing services', 'Others: Cycle, Walk, Drive', 'Car rentals']",Weather unsuitable and iffy car rental,no choice,"['Price', 'Travel Time', 'Physical Accessibility', 'Comfort', 'Reliability', 'Customer Service', 'Safety', 'Waiting Time', 'Service Information']",$50-$100,4,8,2,1,MRT,Car rentals,Price,Service Information,Daily,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Strongly Agree,Strongly Agree,Strongly Agree,"['Long waiting time', 'Bulky items']",No,NIL,< $100,3-4 days per week,15-30 mins,['To get to work/school'],['North-South Line (Red Line)'],"Strongly Agree
","Strongly Agree
","Strongly Agree
","Strongly Agree
",['Bulky items'],1,Once a week,5-10 mins,['Online/In-app'],['When there is a promotion'],"['ComfortDelgro', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Neutral,Agree,Agree,Agree,,['Too costly'],ComfortDelgro,Yellow-Top Taxi,Once a week,['When there is a promotion'],"['ComfortDelGro', 'Grab', 'Gojek']","['Gojek', 'Grab', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",[''],Neutral,Agree,Agree,,['Too costly'],3,Gojek,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'LionCity Rental', 'Grabcar Rental', 'Tribecar']","Trustworthy, readily available",$3.01 - $5,['Free-floating'],"['Convenience', 'Cost']",8,"['Safety of Car Maintenance', 'Insurance Coverage', 'Inconvenient Pickup Locations']",4,"['Taxi', 'Chartered Bus']",['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Good company,Better hotline,"['Competitive prices', 'Promotion codes']",2,1
332,22 - 25,Male,Below $500,Yes,SMU,Central,Geylang,Full-time Student,Employed Part-time,['MRT'],3 - 4 days a week,"['Others: Cycle, Walk, Drive', 'MRT', 'Bus\xa0', 'Ride-hailing services', 'Taxi', 'Car rentals']","It is costly compared to the other alternatives. Plus, I have to wait.",It is cheap and I do not have to wait.,"['Safety', 'Price', 'Travel Time', 'Waiting Time', 'Physical Accessibility', 'Comfort', 'Reliability', 'Customer Service', 'Service Information']",$50-$100,10,10,6,1,"Others: Cycle, Walk, Drive",Car rentals,Safety,Service Information,Once a week,10-20 minutes,"['Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Strongly Agree,Strongly Agree,Strongly Agree,"['Long waiting time', 'Too crowded']",No,If I have to bring huge number of people to a destination.,I don't know,3-4 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)']","Strongly Agree
","Strongly Agree
","Strongly Agree
","Strongly Agree
","['Too crowded', 'Bulky items']",3,Never,5-10 mins,['Online/In-app'],"['When it is more accessible', 'When it is more convenient']","['ComfortDelgro', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Premier Taxi', 'Yellow-Top Taxi']",Neutral,Disagree,Strongly Agree,Neutral,I have never experienced it.,"['Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,None,"['When it is more accessible', 'When it is more convenient']",['Grab'],"['Grab', 'Gojek', 'Ryde', 'Comfort DelGro', 'Tada Mobility', 'Others']","['It is convenient with a click of the button on your mobile application. Plus, you do not have to flag a cab.']",Agree,"Strongly Agree
",Neutral,I have never experienced.,"['Long wait time', 'Too costly']",1,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'LionCity Rental']","Reputable, could be useful for me when I get my driving license in the future",I don't know,"[""I really don't know""]","[""I really don't bother""]",0,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance']",2,"['Taxi', 'Rent-A-Car', 'Chartered Bus']",['Taxi'],Somewhat satisfied,Very satisfied,Neutral,Very satisfied,Very satisfied,Very satisfied,Very satisfied,They are the most reliable in terms of transport services apart from private hire cabs.,Build greater awareness of their mobile application. Not too sure if these are their target customer segment.,['None'],3,1
334,22 - 25,Female,">$3,001",Yes,SUSS,West,Choa Chu Kang,Part-time Student,Employed Full-time,['MRT'],5 - 6 days a week,"['Bus\xa0', 'MRT', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi', 'Car rentals']",Taxi is more expensive compared to private hires when taken in the evening or at night (surcharge of 25% and 50%). Car rental is not cheap and troublesome ,,"['Price', 'Waiting Time', 'Reliability', 'Travel Time', 'Physical Accessibility', 'Safety', 'Comfort', 'Customer Service', 'Service Information']",$50-$100,9,8,2,1,Bus ,Car rentals,Price,Service Information,2-4 times a week,10-20 minutes,['Directly to work/school'],Strongly Agree,Strongly Agree,Agree,['Long waiting time'],No,,I don't know,5-6 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['North-South Line (Red Line)', 'East-West Line (Green Line)', 'Circle Line (Orange/Yellow Line)', 'Downtown Line (Blue Line)']","Strongly Agree
","Strongly Agree
","Strongly Agree
","Strongly Agree
",['Too crowded'],4,Never,5-10 mins,['Flag down'],"['When I need the comfort of privacy', 'When it is more convenient']","['ComfortDelgro', 'CityCab', 'SMRT Taxi', 'Trans-Cab', 'Premier Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Neutral,Agree,Neutral,,['Too costly'],ComfortDelgro,Yellow-Top Taxi,Once a week,"['When it is easy to book', 'When there is a promotion', 'When I need the comfort of privacy', 'When it is more accessible']","['Grab', 'Ryde']","['Grab', 'Ryde', 'Gojek', 'Comfort DelGro', 'Tada Mobility', 'Others']",['Actually I have no preference. I compare the prices and choose the cheapest option'],Agree,Neutral,Neutral,,"['Long wait time', 'Too costly', 'Poor driving']",2,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar', 'LionCity Rental']",,$3.01 - $5,['Free-floating'],['Convenience'],8,"['Inconvenient Pickup Locations', 'Costly', 'Type of rental car provided', 'Safety of Car Maintenance']",3,['Taxi'],['Taxi'],Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,The biggest taxi company in Singapore. All drivers are professional and well trained in their jobs ,"As I’m not sure if they have an app for people to place a ride, and if they have, they can promote it more. And maybe make their prices more attractive because people compare prices. I think just need more branding and publicity to gain awareness ","['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
336,22 - 25,Male,Below $500,Yes,NTU,West,Jurong West,Full-time Student,,"['Bus', 'MRT']",5 - 6 days a week,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi', 'Car rentals']","No license, expensive",Cheaper,"['Price', 'Travel Time', 'Physical Accessibility', 'Reliability', 'Waiting Time', 'Comfort', 'Service Information', 'Safety', 'Customer Service']",$50-$100,9,8,8,2,MRT,Car rentals,Price,Customer Service,5-6 times a week,Less than 10 minutes,['Directly to work/school'],Neutral,Agree,Neutral,"['Too crowded', 'Long waiting time', 'Long travel time', 'Bulky items']",No,,< $100,5-6 days per week,30-45 mins,"['To get to work/school', 'To get to the relevant bus stop', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['East-West Line (Green Line)', 'Circle Line (Orange/Yellow Line)']",Agree,Agree,Neutral,"Strongly Agree
","['Long wait time', 'Long travel time', 'Bulky items', 'Too crowded']",2,Never,More than 10 mins,['Online/In-app'],"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['ComfortDelgro', 'Premier Taxi', 'Trans-Cab', 'SMRT Taxi', 'CityCab', 'Prime Taxi', 'Yellow-Top Taxi']",Strongly Disagree,Neutral,Neutral,Disagree,,"['Long waiting time', 'Not convenient', 'Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,None,"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['Grab', 'Ryde', 'ComfortDelGro', 'Gojek']","['Grab', 'Comfort DelGro', 'Gojek', 'Ryde', 'Tada Mobility', 'Others']",[''],"Strongly Disagree
",Neutral,Disagree,,"['Long wait time', 'Too costly']",4,Grab,Others,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],,< $3,['Free-floating'],['Cost'],2,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance', 'Insurance Coverage']",1,['Taxi'],['Taxi'],Neutral,Neutral,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,App is good,Cheaper,"['Competitive prices', 'Promotion codes', 'Giveaways and contests']",1,1
337,18 - 21,Female,Below $500,Yes,NTU,Central,Toa Payoh,Full-time Student,,"['Bus', 'MRT']",Once a week,"['MRT', 'Bus\xa0', 'Ride-hailing services', 'Taxi', 'Others: Cycle, Walk, Drive', 'Car rentals']","expensive, tiring",short distances,"['Price', 'Physical Accessibility', 'Reliability', 'Travel Time', 'Comfort', 'Safety', 'Service Information', 'Waiting Time', 'Customer Service']",Less than $50,8,8,2,2,MRT,Car rentals,Price,Customer Service,2-4 times a week,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long waiting time', 'Long travel time']",No,,< $100,One day per week,30-45 mins,"['To get to the relevant bus stop', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)"", 'To get to work/school']","['North-South Line (Red Line)', 'East-West Line (Green Line)', 'Circle Line (Orange/Yellow Line)']",Neutral,Agree,Agree,"Strongly Agree
",['none'],3,Never,5-10 mins,['Online/In-app'],"['When there is a promotion', 'super far/ going airport']","['ComfortDelgro', 'SMRT Taxi', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Disagree,Agree,Disagree,,"['Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,None,['When it is more accessible'],['Grab'],"['Grab', 'Ryde', 'Gojek', 'Comfort DelGro', 'Tada Mobility', 'Others']",[''],Disagree,Agree,Disagree,,"['Too costly', 'Long wait time']",1,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'GetGO']",,> $10,"['Station-based', 'Free-floating']","['Convenience', 'Cost', 'Reliability']",3,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance', 'Age Restrictions', 'Insurance Coverage']",2,[''],[''],,,,,,,,,,[''],1,1
338,18 - 21,Female,Below $500,Yes,NUS,North,Woodlands,Full-time Student,,"['Bus', 'MRT']",Daily,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Car rentals', 'Taxi']",Expensive and I'm wary of strangers ,If there are no other forms of public transport available ,"['Price', 'Travel Time', 'Waiting Time', 'Physical Accessibility', 'Comfort', 'Reliability', 'Service Information', 'Safety', 'Customer Service']",Less than $50,9,4,4,2,MRT,Taxi,Price,Customer Service,Daily,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Strongly Agree,Strongly Agree,Agree,"['Long waiting time', 'Long travel time']",No,When travelling somewhere as a large group ,< $100,Daily,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'North-South Line (Red Line)', 'Thomson-East Coast Line (Brown Line)']","Strongly Agree
",Agree,"Strongly Agree
",Agree,"['Long wait time', 'Long travel time']",4,Never,5-10 mins,['Online/In-app'],"['When I need the comfort of privacy', 'When it is more convenient', 'When it is easy to book']","['ComfortDelgro', 'Trans-Cab', 'Premier Taxi', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Agree,Agree,Agree,MRT and bus breakdowns otw to school/home,"['Too costly', 'Not convenient']",ComfortDelgro,Yellow-Top Taxi,None,"['When it is more convenient', 'When it is more accessible']","['Grab', 'ComfortDelGro']","['Grab', 'Comfort DelGro', 'Gojek', 'Ryde', 'Tada Mobility', 'Others']",['Ease of acces'],Neutral,Agree,Agree,,"['Poor customer service', 'Too costly']",2,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'LionCity Rental']",Not as popular as other forms of transport ,$3.01 - $5,['Free-floating'],['Convenience'],6,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided']",2,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,"['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
