year_of_survey,verbatim:_reasons_for_their_satisfaction_ratingss,verbatim:_suggested_areas_of_improvement
2020,Feel so,No comment
2020,Service is poorer as compared to other competitors,Of course. Lots of improvement is required
2020,Good service,Frequently
2020,Because they are very much due to their services,They should improve on their speed
2020,"It is the shortest Mass Rapid Transit line in Singapore so i am very satisfies because i arrived fast to my destination, the facilities are clean and the signs is clear.",I can't suggest anymore because i am very satisfied now.
2020,Easy to use,Promotion
2020,Justified by the service,By keeping the train and station cleaner
2020,Convenient and efficient,Better frequency
2020,"Basically, whenever I take the train it's reaches around the same time, making it quite easy to make estimations, and allow me to plan earlier and thus, have more time to do my stuff and still reach on time","Put a bit more signs to show when the train will arrive, quite hard to find one other than when going in the gantry, should have one at the bus interchange"
2020,offlate the service had detoriated.,"Faster responce, less cancellation, no price hike"
2020,"It's a pandemic, situation have changed. There's a strict control of human traffic since circuit breaker was in place. Even with a phase reopening, it's not like the usual chaotic crowd you get on regular day during peak or non peak hours. You CANNOT use",Driving skills of some of the drivers. A smooth break before the traffic lights and a sudden e-break makes a world of difference. Preventive & reactive driving is different. Peak hour crowded timing a passenger holding bags of hot food would have to fight
2020,Good but pricey,"Lower price, lower commission"
2020,Very satisfied to the services provided,more area coverage
2020,Awesome,Fantastic
2020,"It's the means that I use most all these while, and am very much satisfied with their services","It is sometimes overcrowded, they should do something about that"
2020,Fast and efficient,The train timings
2020,Per my perception,More frequent train
2020,Good but can be improved like the fare and efficiency,Too expensive for the value
2020,It met most ok f my expectations.,By using more vehicles and more expert drivers.
2020,It i clean,
2020,Overall smooth journey,Increase frequency
2020,Good service,Nothing
2020,good but have to walk too long,commuting distance
2020,its good,quality of driver
2020,It has given me much confidence in terms of safety,If he could simply learn to be multilingual
2020,"reliable, fast but sometimes air con is weak, crowded, infrequent during non peak hours, old carriages showing its age (i.e. dirtier)",see previous answer
2020,no comment,better rates
2020,flag down cab on road.,"Quality of taxi drivers choosen, being politically correct and mind their own business."
2020,Bus engine condition is bad.  Cannot pick up speed.  Drag all the way and cause my time waste on board till reach my destination,"Since the bus cannot move with normal speed and condition, operator should inform control and consider bus breakdown.  Arrange passengers to change the next bus rather wasting everybody's time"
2020,The bus come on time,Improve the frequency
2020,there is definitely room for improvement with the huge crowd and impatient crowd but there is no staff control at all.,staff to be there to ensure crowd control.family with pram/wheelchair should use just a separate cabin instead of with the normal crowd. This creates impatient and angry crowd. those with pram just ramp over your feet thinking its their damn right to do i
2020,Good service,Frequency and timing
2020,Slow and pack during peak hours.,Quality of service
2020,very efficient,time
2020,"some routes are ridiculously long, there is no direct route from pasir ris to town",route planning
2020,"Fairly good,",More trains
2020,crowded at Peak period,increase frequency
2020,hi idik wut to say,
2020,efficient,no commentns
2020,Still have space to improve,facilities
2020,It's about average overall.,Train speed and frequency.
2020,Quite reliable,Nothing
2020,972 has always provide a smooth and safe journey to and fro,The frequency of the bus arrival
2020,i feel the train fees is overcharged,reduce transport fees
2020,It was so convenient for me as it goes directly to my house bus stop and it is one of the buses that I use the most and the bus captains are very friendly,The frequency of the bus as you usually have to wait like 12 mins per bus and it's not very frequent
2020,I m satisfied,Frequency
2020,So far so good,Response time
2020,Sometimes stop at a bus stop too long and sometime drive too fast sometime drive too slow.,Wish can drive properly don't suddenly stop. Hope that don't two bus come at the same time.
2020,I am satisfied with the bus ride.,Smile more.
2020,"PRIME are good in all ramifications, and I haven't had any delay, disappointment or fault with them before",They certainly don't have any flaws for now.
2020,overall is nice and price accepetable,the frquency of bus
2020,It has never broken down when I took the train and the speed of the purple line is very fast as compared to other lines. The cleanliness is perfect as I don’t see any trash around. The overall ride was fast and comfortable.,Maybe there could be more trains available during peak hours such as reducing the waiting time before the train door closes at terminal stations like Punggol or habourfront so more passengers could find a seat or fit into the train after the terminal stat
2020,Ride is smooth and all info is provided for to follow if want. Fare is too much from the government,yes please. try to reduce the fare please
2020,always available even in my urgent time.,thru apps
2020,It is good,Price
2020,Basically I have not had any unpleasant experience on the Red Line so far. Overall the standard and service has met my expectation.,No comments
2020,"its ok, But can be better if its traveling speed is faster (maybe increase by 10km/h) and equipped with more comfortable seats (cushioned)",Traveling Speed and more comfortable seats
2020,"In the past three months, I have not experienced any disruptions during my commute on the NS line. The trains were relatively uncrowded (perhaps due to the implementation of circuit breaker and post-circuit breaker measures) so my commutes have been very",Cleanliness of station toilets.
2020,Good and value for money service,
2020,I have no other choice but to take NEL in my daily commute to office.,Handling of train disruptions.
2020,overall satisfied with the service offered,none for now
2020,,reduce fare
2020,Comfortable ride.,
2020,Friendly drivers,Better road knowledge or access to GPS
2020,I think it is convenient,
2020,Is one of the oldest line in SG but well maintained.,ease of exiting the gate as quite often sensor has problem.
2020,The  bus sometimes gets delayed by as much as 6 minutes,Be on time
2020,"At times the frequency of bus 15 can be confusing at times. If I check the bus app and it says 3 mins, I would leave my house to go to the nearby bus stop. But the bus might arrive early sometimes and I’ll have to wait for the next bus which sometimes c","Frequency of the rides. Especially during school period when it passes by TP, there are alot of students and thus making people not able to enter at the stops after TP"
2020,Short distance,Bus capacity Ivo social distancing
2020,There are rooms to improve,1. Staff friendly and knowledge
2020,Not having much problems taking the North East Line so far.,It think it's fine as it is.
2020,"There is really nothing to make a bad comment about bus services. The fundamental reason to take bus is to commute from places to places. As long as we get to places safely and on time, everything else is secondary",More frequency
2020,They are good,Customer service
2020,friendly,provide more bus slot
2020,Bus 12 is good,Nothing
2020,Too pack,More frequency
2020,Circle Line trains are generally of better quality than the red and green lines.     - higher train frequency   - cleaner train interior  - air conditioned platforms  - bigger individual seat spacing,Crowd management during peak periods
2020,it's functional to me,not much
2020,No incident to complain about.,Be more mindful when there are elderly onboard. No sudden jerks or movement.
2020,So far I didn't face any troubles using mrt,Arrival timing.. early and fast is better
2020,They have always delivers and never for once fail me,There are the best of it kinf
2020,The bus arrives quite timely. The bus driver is polite and helpful.,Drive more frequently with double decker instead of single deck.
2020,Good service,NA
2020,Comfort,Train delays
2020,There is always room for improvement,Not sure
2020,961 is a line that touch to my house and my working place,"The bus can more often to run, cause many people using this bus number"
2020,Fast speed,Bus must come on time
2020,Smooth journey,On time
2020,I am familiar with the app and it is easy to use.,Promotion if the driver is late for a significant time or if the driver cancel the booking at the last min
2020,too crowded,ease the crowd
2020,The supply is sufficient so that it is easier to hail a cab without booking which is convenient for me as I don’t have to rush down while doing my chores incomplete.,I am satisfied with the current Comfort/ City Taxis
2020,Service good,In time
2020,Very convenient travelling and very fast,Make it a full circle
2020,Grab experiences personally for me is either very good or very bad. No in between,The fares and promotions that they have as well as improve service standards so all forms of service have the same level of quality
2020,the service is good,more taxi during peak time
2020,I am satisied with the service,Good eniugh
2020,"SO far, I havent had any issues with the bus or the bus captains.The frequency of the buses are alright and I am able to reach my destinations on time.",None that i can think of at the moment
2020,It's fast and reliable,
2020,na,more cabs in isolated places and residential areas
2020,Good experiences,No opinion
2020,That is the bus i know often   So i know more about it,More better service
2020,Very fast and efficient compared to other mrt lines,The time to get on the train is quite fast. Sometimes causes people to panic to get on
2020,"Expect efficiency of the System given the Cost invested, the continued cost required to improve and maintain the System and the increasing fare prices.","The Infrastrucutre, hardware & software and the training of the Staff......"
2020,"timing, punctual and clean",nothing at the moment
2020,Grab has inexperienced drivers,Lower price
2020,Availability still not very good.,Frequency and number of taxis on the road.  Charges are also rather high
2020,Short and fast,Best
2020,Fast period time,Quickly service
2020,It is average,Lesser breakdown
2020,On time,Na
2020,"They would sometime do a sudden break. And some of passengers standing up will lose their balance. Our area alot of the passenger is elderly, how to afford having the old ones to fall?",Be more thoughtful on their skill of driving.
2020,"I find the train is clean. And it sop at places that I go often. Is fast so save time on travelling. So far I am please with the service.  However, I find the station a bit old needs upgrading.",I cannot think of any at this moment.
2020,very unreliable,reliability
2020,Good,Nothing
2020,Appealing,Waiting time
2020,Fast,Price
2020,Good and on time,More buses during peak hour
2020,nothing to complaint about,notihng
2020,Has an user friendly app,Maybe more promotions or lower fares
2020,Clean and I use this line the longest time,The travel time could be shorter and more train during peak hour
2020,All good,Nil.  All good
2020,need to improve cleanliness and friendliness of ambassadors,ambassadors courteouness
2020,interval of bus arrival can be better,frequency of rides
2020,Good service and clean,Frequency
2020,nothing so so,rewards point
2020,very easy to get from west to east.  Fast and reliable.,more extensions
2020,well the waiting time is short compared to private hire car companies,maybe the price???
2020,"Mundane, everyday use circle line. Not too over whelmed nor underwhelmed. Circle line doesn't break down as much as red's but it can get very crowded in the Bishan station but strangely I have not made to miss and take the next train unlike red line (3-4","connectivity from harbour front to bay front. Make it a full circle soon please. if i'm at bayfront and going to pasir panjang, it's just so near yet so far"
2020,Good,Speed
2020,They can further improve,Bus frequency
2020,no comment,no comment
2020,Satisfactory performance,Timing accuracy
2020,Quality of service.,Discounting.
2020,"I’ve mostly had a pleasant experience with Grab Drivers in Singapore although I had some not so pleasant experiences in the Philippines where Drivers get rude and cancel rides.     In Singapore, Drivers are generally courteous although I’ve had one ex","More options like round trip bookings. Example you want a ride to pick up something at a mall, and the driver can wait for you while you pick up the item and send you back home or to a second location"
2020,"bus arrival on time, smooth journey and polite bus captain",cannot think of one at the moment
2020,It is still quite reliable with occasional break downs. It is still very crowded during the peak hour and quite difficult to rush especially at those interchange stations. It is also quite expensive for LRT trips given that it is such a short distance in,Reduces the fare for LRT while increases the fare for long distance traveling.
2020,Waiting time will be shorter than taxi  Fares compare will be cheaper because there is no additional charge of 50% during peak hour.,Distance charges as in if it's nearer why minimum fare is $6.00 and also GPS please find a shorter route.
2020,Nothing fantastic about it,Lower price more helpful and most of the taxi aircon give to much carbon smell
2020,Local comfort safe,Knowledgeable
2020,No specific reason,No sudden interruption of services
2020,"The metro will stay up late, so it's convenient to get in all directions. The air conditioner is strong. But in the metro stations, the instructions are vague and not very instructive.",Improve  the metro station's guidance system.
2020,"Train are well kept, crowded during peak hours.",Continuous training of staff in customer service. Reluctant staff at control stations can tarnished the image of the entire company
2020,"its good overall, no conplaints","timing accuracy, frequency"
2020,"The service has always been reliable. Though in the past 913 bus service has always been very packed, especially during peak periods. However, now during peak periods, there are more buses and there is less waiting time. Many bus captains are very friendl",Have buses that can arrange for larger capacity of passengers.
2020,Well there are no specific reasons as Long as my bus ride is a smooth one with no unnecessary junks and bus captain is polite and helpful then I will be having a great day ahead of me. Coz I did come across some bus captains who drives like as though he h,Overall I think the service can be accepted . They just need to hire more bus captain who are kind and be more compassionate towards elderly. And I do know and understand that’s quite difficult to determine as every one will show you the best side of th
2020,I love their service,They should improve on the car types
2020,Overall it’s quick and efficient however fares a bit high,Toilet at mrt stop can be cleaner
2020,Breakdown often,Smoother the service to avoid breakdown
2020,"Because,the know how to interact with their customer and also they know how to safely drive to the Destination.",Nothing they are perfect
2020,I feel that Circle Line has been doing a great job thus far and I rarely encounter times when I had to give complaints.,"Nothing much, it's good overall. But sometimes it can get really crowded during peak hours which is inevitable."
2020,I have not had much of a bad experience with the operator of bus number 238 thus far.,Perhaps it would be better to increase the frequency of Bus number 238 during rush hours to prevent overcrowdingz
2020,Because it was fast,Nothing it's great
2020,The followings are the few main reasons for high ratings:-    1. Convenience to reach out to nearby vehicles  2. Shorter response time (not peak hours)  3. Selection to hitch (sharing fares)  4. Overall service levels are higher than taxis  5. Amazing bui,1. Lower prices during peak hours
2020,"Most of the time, the Gojek waiting time is much on time compare to Grab, and when I called for the transport, it normally matches the time I able to reach my pickup point.","Allow two pick up locations, as I sometimes have to pick up my other extended family members heading to the same final destination."
2020,"I mostly use Grab and they have not let me down, so far.",Drivers not to cancel when the passenger/s have already for 5 minutes or more.
2020,"Good enough services, could have been better.. officers generally know how to advise pple in the morning... I just don't like the peak hour CS ambassdors afternoon shift, in Jurong East Interchange. Usually stand there, don;t know how to direct pple fast","As mentioned, CS ambassadors in Jurong East Station afternoon shift, should learn to direct pple from blocking exits, or blocking pple from getting onto connected trains. They just stand there, waving or moving to direct traffic but actually meaningless."
2020,"Sometimes the bus is too packed, no seats",Have more buses and timings
2020,Consistent excellent service,Nothing
2020,no comment,no comment
2020,Overall I am satisfy with the train services provided so far.,More Frequent during peak hours and 2 trains cabin instead of 1 train cabin as the population is getting larger
2020,Ease of getting the taxi,Price
2020,Its good enough but I wont call it outstanding as there are certain areas such as frequency that can be improved. as very often you'll wait for a good half an hour before you see two same bus arriving back to back,timing and coordination of bus arrival timings
2020,,Price and safe
2020,Some drivers are not friendly and do not practise safety driving skill,"Manner of driver, better customer service"
2020,Satisfied,Sudden jerkings
2020,Good services,More efficiency
2020,indifferent,move faster
2020,Good service,On time
2020,I find it reliable and efficient. I rarely encountered train disruption.,congestion is the main issue
2020,it's improved,the quality of toilet
2020,Based on personal experience,"So far I am quite satisfied,  no complaints n can't think of any other issues need that need improvement"
2020,SMRT provides a good range of valuable services and has good value for money,Provide customers with stable WiFi
2020,It’s a bit too slow,Faster speed
2020,Like it fast and simple,Customer service
2020,"Noise, the train shaking, light dim","Reduce the noise, brighter lights"
2020,Good 8/10,"Nothing much to do, satisfactory"
2020,Satisfying,Comfatable seats
2020,I'm satisfied and its proven,"Nothing,  all good enough"
2020,Many taxis on the road giving availablity.,Safety for passengers during pandemic.
2020,Wrong entry of rating number. I am very satisfied,Satisfied and can't think of any
2020,"train frequency increases crowds, which is very dangerous in view of wuhan virus",train frequency
2020,none,none
2020,Everything has been smooth and I occasionally see improvements as well. I think we can do better with the station information that shows up on the small screen in the train itself. I recall Korea and occasionally Japan (depending on which line) have some,The digital information presented in the train itself.
2020,Good,Cleaniest
2020,The hardwork by the staff in all areas of the managagement of the station and the trains have been very good overall,The government must continue to ensure that the fares remain affordable
2020,"no specific reason, just my gut feeling about the operator of bus 261",maybe have a LCD display of the next stop so that first-time passengers know when to alight
2020,It is good,Timing
2020,I have never had a negative experience with NEL. I grew up with NEL and had always been positive throughout all my journeys.     If only the PA System can play the exact chimes that's played in KOREA/JAPAN train stations. 😅,All is good actually.
2020,"With the use of app, it is so much more convenient to book a ride.","Service by driver, compared to taxi driver they are less service-oriented."
2020,Timings are generally accurate and with good frequency. Cleanliness is ok as well from observation and never experienced any foul smell on this line.,Can't think of any at the moment.
2020,"poor service, crowded. low frequency","lower the fares, increase frequency of trains"
2020,Travel on time,Improve the speed of the train
2020,"When price is low, only those good fellas worked for this line. If you increase price, you might invite crooks on board.    Good fellas are so helpful, and in this line, a lot of Good Malaysian drivers.",Bigger fonts for the bus LED signages.
2020,He greets everyone boarding the bus,Price
2020,There are loyalty program,more promotions
2020,So far reliable and serves my purpose,Nothing for now
2020,Good service,NA
2020,Well I am currently waiting for university to start and I haven't gotten a student EZ-link card yet and sometimes I think the adult fares are insane. Like one or two bus stops for $0.92 or train fares being so expensive just for a couple stops. I think th,Bus fares.
2020,Not much issues with this line,Handling of passengers when trains break down
2020,No issues faced personally thus far. Aircon is a plus,Cushion seats
2020,it  has a small waiting  time  range  and  its  much  familiar with its passengers  very welcoming,on the  time management factor and  transport cost
2020,"The taxis are trustworthy, have good value for money and provide exemplary services",Adding more vehicles of great standard and high comfortability
2020,Quite reliable,Cleanliness inside car
2020,The ride is comfortable and reasonable,Nothing specific
2020,something it doesn't stop even i run towards the bus stop,"pls wait if someone run to the bus stop, ask passenger to move inside so others can  enter"
2020,The train was smooth,The train frequency
2020,"Overall, I do not experience much breakdown, the overall train is clean and the frequency of the train services is good","No, so far everything is good"
2020,overall they meet my expectations,lower their price maybe
2020,"Fast and efficient travelling, comfort element is present too",
2020,"Too many ambassadors repeating the system broadcast adds to noise pollution. If the train is pack, please look for alternative solution rather than request that we pack closer. It's is safety hazard to block computers from entering a train. Both may be bo",Less ambassadors parroting the broadcast.  Save cost by reducing these unnecessary overhead rather than raise fares
2020,"Drivers are familiar with the road knowledge, felt safe and secure",Competitive pricing
2020,see all previous reasons,improve customer service on complaints
2020,Bus operator has implemented  an express bus 302 A and normal route 302 to ease the peak hour crowd which is very helpful,No comment
2020,"It can do better. sometimes when travelling between stations, there is a loud high pitch ringing. it is painful to the ears. i feel the frequency of the trains should increase.",the frequency of the arrival of trains
2020,The train frequency and not so crowd when the train stop have a smooth journey,So far every think is ok no comment
2020,"a good transport provider, takes me to where i want to go safely and comfortably, at a reasonable fare.","none, it is quite perfect"
2020,Excellent,Cleanliness
2020,Earn a living,Courtesy as always
2020,It's really a good service rendered and I enjoy being a customer,Availability around the world
2020,It served the purpose of my travelling,more staff to alert commuters to be let ppl to get out of the train before some trying to rush in.  Check more frequent to 'catch' young one drinking bubble tea on train.
2020,Nothing to complain about but also nothing exceptionally praise worthy,Nothing in particular
2020,Comfort is a well known and trusted company and I have used its service for many years. There is regular news about the company's good performance and its branding is good. Thus far my experience using comfort/city taxis has been fine and I am pleased wit,"The comfort /city taxis should improve on the comfort factors by ensuring cleanliness, safety precautions (especially in the light of the covid19 pandemic), free wifi,  music for a relaxing journey etc. Where possible the old fleets of taxis should be rep"
2020,they are very fast and efficient in the Sky Sport mode,I can improve on their departure time
2020,i think the drivers are not very polite,train drivers to provide better customer service
2020,So far so good,Reduce fare
2020,It has been reliable,No idea
2020,I have consistently experienced a good journey on the Downtown Line,Can't think of any
2020,Gojek always put a smile on my face and they have a good customer service.,They should improve in the waiting time.
2020,Quick response,Am okay with it
2020,It depends.,It depends.
2020,Easy to use,None
2020,The reason is because I just like it,Nothing actually
2020,Well plenty of taxis at 9.30am at Admiralty Mrt taxi stands.,None.
2020,Best in town,I like everything about them
2020,Can get a transport when raining day but the charge sia expensive,If the cl driver accept the customer cannot cancel just because next 2mins the price change.. is unfair for customer
2020,Just like,Nothing for now
2020,They are efficient and have good customers relationship,"As at now, they are performing well and they should not relent on that"
2020,Smrt taxis is a great company that really understands what customer needs,Smrt taxis should keep their good work on
2020,They offer good services,Safety
2020,Good experience,Na
2020,There’s really nothing I am expecting or can complain much about. I get home safely,
2020,Smrt taxis is doing the right thing and I love it,Smrt taxis should keep moving with the momentum
2020,It's overall great and I always recommend it to my friends and family,It's the best ever
2020,Not bad.,No comments
2020,Good service,Delays
2020,As a newer line the circle line is much more reliable and is plagued with fewer problems. Rolling stock is also still relatively new.,crowd control
2020,Satisfied with there operation,None
2020,Availability of SMART Taxis,Speed
2020,,Having more driver
2020,comfortable and spacious and quick,the fares
2020,No disruptions,Frequency of trains
2020,no comment,no comment
2020,"Fare a bit too high, otherwise it was good in general.",Cheaper ride
2020,Is convenience to use and good service,shorter waiting time
2020,"Quite Good Service,",Payment acceptance by digital not cash and also rebates
2020,I like the spacious car seat,If price is lower
2020,Better than other lines,Frequency of trains
2020,No complaints so far as I only experienced disruption once since the Circle Line started operating. Good frequency and cleanliness of trains.,"More locations. Thus far no coverage near West Coast Park, or Clementi West area."
2020,i am very satisfied with smrt,payment option
2020,Some to poor navigation,The distance and its good to receive point like grab
2020,good services,
2020,No reasons at all,I think there customer service
2020,"The services from Gojek are very satisfying,  very convenient and high quality",A little bit in waiting time but it's still good as it is
2020,I really love what I saw the day that i used the taxi,By creating more family app compate to normal passenger apps
2020,reliable,more directional signs
2020,I think I rated this way because I think they can improve their services to accommodate more users,I think it can improve on their availability
2020,no comment,no comment
2020,It is quick and convenient to use their services,Offers better services
2020,I have very good and comfortable vehicle for my commission,yeah I've got time needs to be improved
2020,Comfortable and convenient ride,offering better prices
2020,They are always on time and there is rarely or hardly any problems,Maybe the option to cancel and rebook the ride if a driver exceed by a certain timing
2020,no comment,no comment
2020,Easy and fast to get a ride,The service attitude of driver is more friendly and professional
2020,"Reasonable price, good service",More friendly and helpful driver
2020,Very quick,Love Everything about them
2020,Meets the needs. Sometimes it ends at specific station which is annoying since need to change or wait for next one,Don't end service at random station
2020,Good,Na
2020,Available train,Inside digital board
2020,Satisfied,Price and waiting time
2020,"brought me to my destinations many times in comfort, safety and no glitch.",none
2020,"They have taxis all over this getting them is quick, they respond very well on their app..and keeping customer first","Comfort in the taxis, some music"
2020,Be more professional moee friendly,Service speed
2020,The service is a great one. I have enjoyed it for most parts,Wait to can definitely be improved upon
2020,Because of their quality of service and prompt timing.,Including incentives and more customer friendly approach
2020,"Smrt to date has provided great reliable service with the ocassional hiccup here and there. But that is with why transport service particularly rail and bus. Compared to other countries such as Australia, Singapore’s service is TOP in the game.",It gets very crowded during peak hours. Maybe can see how to disperse the crowd
2020,Good,Money
2020,It uses electric power,It uses electric power
2020,They're very nice and very okay,"Nothing, its just as perfect as ever"
2020,It is just not too good. But relatively easy to get the ride and waiting time is also less as compare to others. When it comes to getting a cab quickly then Comfort is the fair option.,"Customer service, Drivers Behavior, Cleanness of their vehicles, Driver should drive safely"
2020,It good and comfortable,Efficiency
2020,safe smooth fast rides everytime,nothing
2020,Good and okay for me and my family,More taxis Should be available
2020,Because I'm satisfied,They decide
2020,They have good drivers  And their waiting time is short  It's very reliable,Price  Application  Advertisement
2020,Good for me to come,Really good
2020,Satisfaction,Interaction
2020,They meet up to my transport expectations.,Nothing
2020,Train svc getting slower n less frequent,Better frequency
2020,rides are usually smooth without problems,greeting of commuters
2020,"Very easy , peaceful and the drivers are always careful while driving and they all obey the traffic roles.",Numbers of cab
2020,Things could be better if there is better management.,Fairer fares and reliability
2020,"Acceptable, nothing much to comment","Making the ride more enjoyable. With covid situation, and phase 2 started, safeguarding against spread of virus should be heightened"
2020,no comment,no comment
2020,Good Price value if booking from app,More taxi available
2020,Polite,Frequency
2020,I am ok with their services and have no 0robkem with them. That is why I have them those above average ratings,They can reduce their fares
2020,"nothing, I am satisfied of their services providing to the public. thanks","nothing, keep up the good work. thanks"
2020,Very satisfied. Especially compared to many other transit systems across the world that are sub-par in comparison to Singapore.,n/a
2020,"It is very easy to get a clean & good private car ride from Grab, much prefer it than hiring taxis which tend to be old & not as well kept",I feel that fares could be more competitive
2020,I support businesses that do not exploit their workers,Have a more competitive taxi rental rate to dominate the local market. I often speak to drivers and they just want to earn a living yet PHV undercuts their market.
2020,its was good and well done,waiting time
2020,NOT,YES I LIKE
2020,ok,no comment
2020,provide good service,NA
2020,I usually give 5 stars for grab drivers who maintain a clean environment and is careful when they're driving (not speeding above limit),Maybe they can reduce the outrageous prices when they're largely in demand
2020,My travel with downtown line has always been comfortable and I never experience any disruption.,Toilet cleanliness
2020,Fares can be more competitive. Sometimes the app breaks or is inaccurate with respect to waiting times and causes inconvenience at that very point in time. Otherwise I'm inclined to just use it because it's my main go-to app for private hire transport,"Competitive fares, more accurate estimation of timings"
2020,"Cleanliness, train on time, during peak hour with more train on service.",To have free wifi in every cubicle.
2020,Good train ride,More consistent train intervals
2020,Satisfactory,Pick up time
2020,no comment,no comment
2020,Compassionate,Inspirational
2020,A lot of room for improvement,All aspects
2020,No hiccups on the ride so far,Frequency of the bus. Some area quite crowded. The recent one at Tiong Bahru station. A lot of people alight at Tiong Bahru MRT
2020,"Overall satisfactory with the service provided and fare. It would be good if the waiting time can be shortened. Also, cleanliness of the car and safety of ride are important factors that affect the ratings.","Fare, car availability & cleanliness"
2020,clean and fast,train speed
2020,It was generally a pleasant ride.,Divers can greet and smile at passengers. Make them feel welcome when they board.
2020,"It is convenient, hassle-free and accessible.","Train frequencies, crowd management."
2020,"Based on personal experience and observations, the comfort level I’m receiving during the time I used the transportation service was quite pleasant and at ease.",Increase in frequency and decrease in fare with staffs controlling the traffic during peak hours would help the flow.
2020,Price and avaliability of taxi.,More perks/discount
2020,Expensive and slow to move,Speed of train and lower fare rates
2020,The waiting time is reasonable and the driver is always very helpful,
2020,Quite satisfactory,Frequency
2020,"clean, good frequency, fares need to increase less often",make transport more affordable. add amenities in the trains
2020,"Very conveniently located near my house, only 7 minutes walk to train station. Train interiors good.",Use more New trains. Still noticed old trains in use
2020,"So far so good, but cannot give 100% or there will be complacency in basic standard expectation & requirements & adherence to SOP",So far so good & satisfactory
2020,So far good,More frequency
2020,better service,train frequency
2020,I have not encountered any issue during my travel,maintenance of  facilities
2020,"Reliability, safe and cleaniness",Reduce the fare so that the poorer segment can benefit from the rides.
2020,"I am fairly satisfied with the service, through there are some things I feel could be improved as implied according to my ratings. However, I do feel compared to other countries such as Malaysia or Australia that Singapore is doing a good job in terms of",The two things I'd note is how crowded the trains are and lines at the top-up stations.
2020,It is good and clean and usually not very crowded but fares a bit high especially with cash payments and frequency can be improved.,Lower fares  Frequency
2020,Convenient,More available car
2020,"sustainable, reliable and readily available",More cheaper fare to passengers
2020,"Well connected to different locations, usually crowded and not so friendly staff","Staff, higher frequency"
2020,It is good,Increase the frequency of train
2020,just feel like it,
2020,They are prompt on replys,Nothing
2020,The train has little fault and it does not has much interruption,It can cover more area as currently it only covers six stations
2020,It is a regular service I take on Saturdays to bring my son home after his activity in town. I am very familiar with the service.,The service and service quality is good.
2020,So far this service is okay except that it takes quite a long time to wait for this service especially at Nex Mall. It can take up to 20 mins in some cases.,Timing and frequency of service
2020,reliable service,flag down price
2020,Fair rates currently . Quite prompt confirmation,Greater accuracy on arrival times at pick up point
2020,It does have disruptions at times.,Train disruption at times.
2020,So far I do not have any bad experiences from Comfort/City Taxis. It is still my 1st choice when it comes to taxis.,"I think Comfort’s pricing are still very competitive either the others. Of course at low peak, Grab cabs have the lower pricing. I want to compliment Comfort for coming out with “ComfortRide” costing on top of the usual meter fare. The promo codes a"
2020,Base on personal experience,No comments
2020,Good service,Nothing
2020,I am satisfied with the operator of bus number 811,Arriving Timing
2020,Comfortable ride,Increase  # of frequency
2020,The service average,The efficiency
2020,,more polite
2020,It cost me $1.80++ fron tiong bahru mrt to yio chu kang mrt per direction each time including bus connections. I am hoping fares csn go back to 77 cents minimum distance ride fsres.,More seatings
2020,It is a good and reliable service that delivers,Flexibility of payment options
2020,Because it makes me feel relaxed and convenient.,You can book the ride through the app online
2020,I think it's convenient. I like it,Hope for better service
2020,"The service is good and the speed is smooth, which makes me comfortable.",I hope there are more flights
2020,"Convenient, can take a car quickly, arrive the destination pass also very safe.",I hope the online booking platform will be more convenient and improved.
2020,Provide good service and get to me in time,They can provide us with better online apps and make it easy for us to order cars
2020,So far no issues but can be too crowded at nel interchange. Should implement safe distancing. Prefer trains with seats coz journeys can be long and those who not well like me who look young but with back problems will not be given seats.,Put back seats as mentioned earlier and implement safe distancing on train.  Should install cameras and have officials to check on people not wearing masks on train as seen some people not wearing masks properly and even one removing mask to cough.
2020,convenient when booking with the app.,better GPS routing for the drivers
2020,Better service,None
2020,Experience & courteous driver,Add on another location using the app
2020,"it is reliable, it is trusted",more incentives for drivers
2020,"Based on my experience travelling on Green line, so far reliable and no complaints.",
2020,"Overall, Im pretty satisfied with the efficiency and cleanliness. Only not so happy sometimes with their willingness to help at times.",Station Control officers should be more friendly and approachable. More helpful too.
2020,it's about average,prices
2020,No complain or worries when taking the bus,
2020,So far so good,Nothing that I can think of.
2020,Average,Train timing
2020,Very good taxis,Their services
2020,The frequency and ease of moving and seating within the bus is not satisfactory.,"Bigger seats, more walking space along the aisle. And definitely more reduced fares."
2020,Safety travel,More safety in road conditions
2020,Have not encountered any problems so far.  Servce has been reliable.,Service to disadvantaged people  Staff being more helpful to passagers.
2020,"I am generally satisfied with using Grab, starting from navigating the app to the trip itself. Just that sometimes the price can be very expensive.","I've heard about my friends complaining about some drivers not showing up, etc. I think such issues are fundamental in nature and should not happen at all."
2020,Because grab are available everywhere and provide many discounts,more discounts
2020,"The car was on time, the price was affordable, the service was good.","I think driving speed, slow down, limit the number of passengers, not crowded."
2020,Drivers can have friendly communication with passengers and respect their privacy,I hope to make more efforts to ensure the safety of passengers
2020,The driver's attitude towards the passengers is very good and polite,If only we could shorten the waiting time of passengers
2020,"I think it is very good, very safe and suitable for the elderly.","In the near future, I think it is necessary to strengthen the sanitation, and then to control the number of passengers. For the sake of everyone's safety, we should pay attention to the epidemic period."
2020,I think it's very convenient and clean for me. It's a quick way to travel in Singapore,I don't think the air conditioner is cold enough
